month,search_term,google_trends_interest,event_name,event_type,is_event_month
2022-01-01,glazed_donut_skin,0,Glazed donut skin identified as major Hailey Bieber beauty trend,viral_beauty_trend,1
2022-06-01,rhode_lip_treatment,3,Peptide Lip Treatment included in first Rhode drop,product_launch,1
2022-06-01,rhode_skin,35,Rhode officially launches,brand_launch,1
2023-03-01,rhode_skin,13,Rhode reports major waitlist and expansion momentum,business_growth,1
2023-08-01,rhode_lip_treatment,9,Strawberry Glaze Peptide Lip Treatment launches with Krispy Kreme,product_collab,1
2023-09-01,rhode_lip_treatment,14,Rhode Peptide Lip Tint launches,product_launch,1
2024-01-01,rhode_skin,22,Pineapple Refresh Cleanser becomes available,skincare_product_launch,1
2024-02-01,rhode_phone_case,3,Rhode Lip Case launches,viral_product_launch,1
2024-06-01,hailey_bieber_skincare,0,Rhode Pocket Blush launches,color_cosmetics_launch,1
2024-10-01,rhode_skin,21,Rhode Barrier Butter launches,skincare_product_launch,1
2025-01-01,rhode_lip_treatment,12,Peptide Lip Shape launches,lip_product_launch,1
2025-05-01,rhode_skin,29,e.l.f. Beauty announces Rhode acquisition,business_event,1
2025-09-01,hailey_bieber_skincare,0,Rhode launches at Sephora U.S. and Canada,retail_expansion,1
