date,event_name,event_type,related_search_term,SOURCE
2022-01-27,“Glazed donut skin” identified as a major Hailey Bieber beauty trend,viral_beauty_trend,glazed donut skin,Glamour UK
2022-06-15,Rhode officially launches with its first skincare products,brand_launch,rhode skin; Hailey Bieber skincare,Allure
2022-06-15,Peptide Lip Treatment included in Rhode’s first product drop,product_launch,rhode lip treatment,Vogue
2023-03-22,Rhode reports major demand and expansion momentum,business_growth,rhode skin; Hailey Bieber skincare,Vogue
2023-08-28,Strawberry Glaze Peptide Lip Treatment launches with Krispy Kreme tie-in,product_collab,rhode lip treatment; glazed donut skin,Coveteur
2023-09-28,Rhode Peptide Lip Tint launches,product_launch,rhode lip treatment; Hailey Bieber skincare,Vogue
2024-01-25,Pineapple Refresh Cleanser becomes available,skincare_product_launch,rhode skin; Hailey Bieber skincare,Teen Vogue
2024-02-27,Rhode Lip Case launches,viral_product_launch,rhode phone case,Instagram
2024-06-20,Rhode Pocket Blush launches,color_cosmetics_launch,rhode skin; Hailey Bieber skincare,Fashionista
2024-10-28,Rhode Barrier Butter launches,skincare_product_launch,rhode skin; Hailey Bieber skincare,ELLE
2025-01-30,Peptide Lip Shape launches,lip_product_launch,rhode lip treatment; Hailey Bieber skincare,Hollywood Reporter
2025-05-28,e.l.f. Beauty announces acquisition of Rhode in deal valued at $1 billion,business_event,rhode skin; Hailey Bieber skincare,AP News
2025-09-04,Rhode launches at Sephora in the U.S. and Canada,retail_expansion,rhode skin; rhode lip treatment; Hailey Bieber skincare,People.com
